Congress_term,start_year,end_year
82,1951,1952
83,1953,1954
84,1955,1956
85,1957,1958
86,1959,1960
87,1961,1962
88,1963,1964
89,1965,1966
90,1967,1968
91,1969,1970
92,1971,1972
93,1973,1974
94,1975,1976
95,1977,1978
96,1979,1980
97,1981,1982
98,1983,1984
99,1985,1986
100,1987,1988
101,1989,1990
102,1991,1992
103,1993,1994
104,1995,1996
105,1997,1998
106,1999,2000
107,2001,2002
108,2003,2004
109,2005,2006
110,2007,2008
111,2009,2010
112,2011,2012
113,2013,2014
114,2015,2016
115,2017,2018