name,bioguide_id,state,Freq_x,thomas_id,Freq_y,NId
"Abraham, Ralph Lee",A000374,LA,298.0,,,0
"Adams, Alma S.",A000370,NC,292.0,02201,1.0,1
"Aderholt, Robert B.",A000055,AL,139.0,01460,1499.0,2
"Aguilar, Pete",A000371,CA,282.0,,,3
"Alexander, Lamar",A000360,TN,202.0,01695,1133.0,4
"Allen, Rick W.",A000372,GA,276.0,,,5
"Amash, Justin",A000367,MI,63.0,02029,157.0,6
"Amodei, Mark E.",A000369,NV,344.0,02090,436.0,7
"Ashford, Brad",A000373,NE,406.0,,,8
"Ayotte, Kelly",A000368,NH,481.0,02075,531.0,9
"Babin, Brian",B001291,TX,405.0,,,10
"Baldwin, Tammy",B001230,WI,471.0,01558,3467.0,11
"Barletta, Lou",B001269,PA,336.0,02054,522.0,12
"Barr, Andy",B001282,KY,328.0,02131,249.0,13
"Barrasso, John",B001261,WY,226.0,01881,748.0,14
"Barton, Joe",B000213,TX,148.0,00062,2723.0,15
"Bass, Karen",B001270,CA,339.0,01996,687.0,16
"Beatty, Joyce",B001281,OH,510.0,02153,358.0,17
"Becerra, Xavier",B000287,CA,161.0,00070,1920.0,18
"Benishek, Dan",B001271,MI,258.0,02027,583.0,19
"Bennet, Michael F.",B001267,CO,366.0,01965,719.0,20
"Bera, Ami",B001287,CA,227.0,02102,242.0,21
"Beyer, Donald S., Jr.",B001292,VA,429.0,,,22
"Bilirakis, Gus M.",B001257,FL,302.0,01838,1114.0,23
"Bishop, Mike",B001293,MI,288.0,,,24
"Bishop, Rob",B001250,UT,215.0,01753,1627.0,25
"Bishop, Sanford D., Jr.",B000490,GA,302.0,00091,4043.0,26
"Black, Diane",B001273,TN,346.0,02063,526.0,27
"Blackburn, Marsha",B001243,TN,376.0,01748,2305.0,28
"Blum, Rod",B001294,IA,264.0,,,29
"Blumenauer, Earl",B000574,OR,665.0,00099,4364.0,30
"Blumenthal, Richard",B001277,CT,563.0,02076,946.0,31
"Blunt, Roy",B000575,MO,359.0,01464,2284.0,32
"Boehner, John A.",B000589,OH,3.0,00102,1852.0,33
"Bonamici, Suzanne",B001278,OR,376.0,02092,511.0,34
"Booker, Cory A.",B001288,NJ,367.0,02194,158.0,35
"Boozman, John",B001236,AR,310.0,01687,2185.0,36
"Bordallo, Madeleine Z.",B001245,GU,336.0,01723,3003.0,37
"Bost, Mike",B001295,IL,201.0,,,38
"Boustany, Charles W., Jr.",B001255,LA,401.0,01787,1343.0,39
"Boxer, Barbara",B000711,CA,437.0,00116,8264.0,40
"Boyle, Brendan F.",B001296,PA,356.0,,,41
"Brady, Kevin",B000755,TX,147.0,01468,1863.0,42
"Brady, Robert A.",B001227,PA,367.0,01469,3384.0,43
"Brat, Dave",B001290,VA,268.0,02203,2.0,44
"Bridenstine, Jim",B001283,OK,233.0,02155,225.0,45
"Brooks, Mo",B001274,AL,332.0,01987,455.0,46
"Brooks, Susan W.",B001284,IN,275.0,02129,210.0,47
"Brown, Corrine",B000911,FL,423.0,00132,4425.0,48
"Brown, Sherrod",B000944,OH,483.0,00136,5142.0,49
"Brownley, Julia",B001285,CA,498.0,02106,439.0,50
"Buchanan, Vern",B001260,FL,172.0,01840,842.0,51
"Buck, Ken",B001297,CO,156.0,,,52
"Bucshon, Larry",B001275,IN,233.0,02018,424.0,53
"Burgess, Michael C.",B001248,TX,319.0,01751,1647.0,54
"Burr, Richard",B001135,NC,252.0,00153,2406.0,55
"Bustos, Cheri",B001286,IL,359.0,02127,307.0,56
"Butterfield, G. K.",B001251,NC,305.0,01761,1825.0,57
"Byrne, Bradley",B001289,AL,330.0,02197,104.0,58
"Calvert, Ken",C000059,CA,226.0,00165,4093.0,59
"Cantwell, Maria",C000127,WA,299.0,00172,2300.0,60
"Capito, Shelley Moore",C001047,WV,301.0,01676,1650.0,61
"Capps, Lois",C001036,CA,299.0,01471,3677.0,62
"Capuano, Michael E.",C001037,MA,336.0,01564,3286.0,63
"Cardenas, Tony",C001097,CA,505.0,02107,405.0,64
"Cardin, Benjamin L.",C000141,MD,383.0,00174,4044.0,65
"Carney, John C., Jr.",C001083,DE,224.0,01999,343.0,66
"Carper, Thomas R.",C000174,DE,212.0,00179,3090.0,67
"Carson, Andre",C001072,IN,412.0,01889,1761.0,68
"Carter, Earl L. ""Buddy""",C001103,GA,323.0,,,69
"Carter, John R.",C001051,TX,161.0,01752,1618.0,70
"Cartwright, Matt",C001090,PA,662.0,02159,732.0,71
"Casey, Robert P., Jr.",C001070,PA,389.0,01828,1846.0,72
"Cassidy, Bill",C001075,LA,226.0,01925,640.0,73
"Castor, Kathy",C001066,FL,316.0,01839,1210.0,74
"Castro, Joaquin",C001091,TX,167.0,02163,125.0,75
"Chabot, Steve",C000266,OH,373.0,00186,2144.0,76
"Chaffetz, Jason",C001076,UT,179.0,01956,873.0,77
"Chu, Judy",C001080,CA,671.0,01970,1272.0,78
"Cicilline, David N.",C001084,RI,598.0,02055,975.0,79
"Clark, Katherine M.",C001101,MA,455.0,02196,242.0,80
"Clarke, Yvette D.",C001067,NY,528.0,01864,1903.0,81
"Clawson, Curt",C001102,FL,165.0,02200,39.0,82
"Clay, Wm. Lacy",C001049,MO,278.0,01654,3148.0,83
"Cleaver, Emanuel",C001061,MO,219.0,01790,1886.0,84
"Clyburn, James E.",C000537,SC,120.0,00208,2213.0,85
"Coats, Daniel",C000542,IN,156.0,00209,2561.0,86
"Cochran, Thad",C000567,MS,232.0,00213,5996.0,87
"Coffman, Mike",C001077,CO,351.0,01912,961.0,88
"Cohen, Steve",C001068,TN,791.0,01878,3137.0,89
"Cole, Tom",C001053,OK,304.0,01742,1565.0,90
"Collins, Chris",C001092,NY,363.0,02151,274.0,91
"Collins, Doug",C001093,GA,228.0,02121,186.0,92
"Collins, Susan M.",C001035,ME,388.0,01541,3308.0,93
"Comer, James",C001108,KY,1.0,,,94
"Comstock, Barbara",C001105,VA,291.0,,,95
"Conaway, K. Michael",C001062,TX,177.0,01805,1650.0,96
"Connolly, Gerald E.",C001078,VA,483.0,01959,1781.0,97
"Conyers, John, Jr.",C000714,MI,674.0,00229,10383.0,98
"Cook, Paul",C001094,CA,310.0,02103,235.0,99
"Coons, Christopher A.",C001088,DE,474.0,01984,725.0,100
"Cooper, Jim",C000754,TN,184.0,00231,2435.0,101
"Corker, Bob",C001071,TN,106.0,01825,514.0,102
"Cornyn, John",C001056,TX,300.0,01692,1538.0,103
"Costa, Jim",C001059,CA,256.0,01774,1364.0,104
"Costello, Ryan A.",C001106,PA,375.0,,,105
"Cotton, Tom",C001095,AR,240.0,02098,329.0,106
"Courtney, Joe",C001069,CT,316.0,01836,1921.0,107
"Cramer, Kevin",C001096,ND,486.0,02144,354.0,108
"Crapo, Mike",C000880,ID,262.0,00250,2453.0,109
"Crawford, Eric A. ""Rick""",C001087,AR,194.0,01989,457.0,110
"Crenshaw, Ander",C001045,FL,186.0,01643,1020.0,111
"Crowley, Joseph",C001038,NY,275.0,01604,3562.0,112
"Cruz, Ted",C001098,TX,237.0,02175,171.0,113
"Cuellar, Henry",C001063,TX,165.0,01807,1122.0,114
"Culberson, John Abney",C001048,TX,229.0,01670,1478.0,115
"Cummings, Elijah E.",C000984,MD,395.0,00256,4174.0,116
"Curbelo, Carlos",C001107,FL,355.0,,,117
"Daines, Steve",D000618,MT,271.0,02138,218.0,118
"Davidson, Warren",D000626,OH,21.0,,,119
"Davis, Danny K.",D000096,IL,356.0,01477,4689.0,120
"Davis, Rodney",D000619,IL,373.0,02126,358.0,121
"Davis, Susan A.",D000598,CA,319.0,01641,2547.0,122
"DeFazio, Peter A.",D000191,OR,452.0,00279,6359.0,123
"DeGette, Diana",D000197,CO,217.0,01479,2552.0,124
"DeLauro, Rosa L.",D000216,CT,425.0,00281,4931.0,125
"DeSantis, Ron",D000621,FL,214.0,02116,214.0,126
"DeSaulnier, Mark",D000623,CA,535.0,,,127
"DelBene, Suzan K.",D000617,WA,414.0,02096,344.0,128
"Delaney, John K.",D000620,MD,344.0,02133,288.0,129
"Denham, Jeff",D000612,CA,180.0,01995,345.0,130
"Dent, Charles W.",D000604,PA,204.0,01799,1174.0,131
"DesJarlais, Scott",D000616,TN,300.0,02062,378.0,132
"Deutch, Theodore E.",D000610,FL,418.0,01976,796.0,133
"Diaz-Balart, Mario",D000600,FL,160.0,01717,1268.0,134
"Dingell, Debbie",D000624,MI,323.0,,,135
"Doggett, Lloyd",D000399,TX,224.0,00303,2057.0,136
"Dold, Robert J.",D000613,IL,327.0,02013,229.0,137
"Donnelly, Joe",D000607,IN,210.0,01850,750.0,138
"Donovan, Daniel M., Jr.",D000625,NY,199.0,,,139
"Doyle, Michael F.",D000482,PA,219.0,00316,3092.0,140
"Duckworth, Tammy",D000622,IL,389.0,02123,215.0,141
"Duffy, Sean P.",D000614,WI,211.0,02072,339.0,142
"Duncan, Jeff",D000615,SC,364.0,02057,715.0,143
"Duncan, John J., Jr.",D000533,TN,291.0,00322,3495.0,144
"Durbin, Richard",D000563,IL,3.0,00326,6614.0,145
"Durbin, Richard J.",D000563,IL,479.0,,,146
"Edwards, Donna F.",E000290,MD,440.0,01894,1043.0,147
"Ellison, Keith",E000288,MN,600.0,01857,2699.0,148
"Ellmers, Renee L.",E000291,NC,301.0,02036,565.0,149
"Emmer, Tom",E000294,MN,281.0,,,150
"Engel, Eliot L.",E000179,NY,434.0,00344,6104.0,151
"Enzi, Michael B.",E000285,WY,249.0,01542,1934.0,152
"Ernst, Joni",E000295,IA,191.0,,,153
"Eshoo, Anna G.",E000215,CA,452.0,00355,3869.0,154
"Esty, Elizabeth H.",E000293,CT,423.0,02114,368.0,155
"Evans, Dwight",E000296,PA,2.0,,,156
"Farenthold, Blake",F000460,TX,409.0,02067,587.0,157
"Farr, Sam",F000030,CA,397.0,00368,4425.0,158
"Fattah, Chaka",F000043,PA,295.0,00371,3276.0,159
"Feinstein, Dianne",F000062,CA,444.0,01332,4116.0,160
"Fincher, Stephen Lee",F000458,TN,190.0,02064,413.0,161
"Fischer, Deb",F000463,NE,243.0,02179,191.0,162
"Fitzpatrick, Michael G.",F000451,PA,359.0,01797,940.0,163
"Flake, Jeff",F000444,AZ,228.0,01633,1256.0,164
"Fleischmann, Charles J. ""Chuck""",F000459,TN,184.0,02061,294.0,165
"Fleming, John",F000456,LA,177.0,01924,804.0,166
"Flores, Bill",F000461,TX,264.0,02065,565.0,167
"Forbes, J. Randy",F000445,VA,254.0,01683,1822.0,168
"Fortenberry, Jeff",F000449,NE,231.0,01793,1053.0,169
"Foster, Bill",F000454,IL,303.0,01888,544.0,170
"Foxx, Virginia",F000450,NC,105.0,01791,1231.0,171
"Frankel, Lois",F000462,FL,363.0,02119,292.0,172
"Franken, Al",F000457,MN,501.0,01969,1024.0,173
"Franks, Trent",F000448,AZ,414.0,01707,2126.0,174
"Frelinghuysen, Rodney P.",F000372,NJ,153.0,00414,1334.0,175
"Fudge, Marcia L.",F000455,OH,345.0,01895,1171.0,176
"Gabbard, Tulsi",G000571,HI,294.0,02122,242.0,177
"Gallego, Ruben",G000574,AZ,300.0,,,178
"Garamendi, John",G000559,CA,440.0,01973,868.0,179
"Gardner, Cory",G000562,CO,296.0,01998,407.0,180
"Garrett, Scott",G000548,NJ,137.0,01737,1765.0,181
"Gibbs, Bob",G000563,OH,238.0,02049,405.0,182
"Gibson, Christopher P.",G000564,NY,424.0,02043,510.0,183
"Gillibrand, Kirsten E.",G000555,NY,499.0,01866,1799.0,184
"Gohmert, Louie",G000552,TX,232.0,01801,1390.0,185
"Goodlatte, Bob",G000289,VA,237.0,00446,2503.0,186
"Gosar, Paul A.",G000565,AZ,463.0,01992,562.0,187
"Gowdy, Trey",G000566,SC,133.0,02058,353.0,188
"Graham, Gwen",G000575,FL,201.0,,,189
"Graham, Lindsey",G000359,SC,194.0,00452,2228.0,190
"Granger, Kay",G000377,TX,140.0,01487,1496.0,191
"Grassley, Chuck",G000386,IA,344.0,00457,5645.0,192
"Graves, Garret",G000577,LA,108.0,,,193
"Graves, Sam",G000546,MO,244.0,01656,1410.0,194
"Graves, Tom",G000560,GA,148.0,01979,360.0,195
"Grayson, Alan",G000556,FL,479.0,01914,794.0,196
"Green, Al",G000553,TX,283.0,01803,2007.0,197
"Green, Gene",G000410,TX,286.0,00462,4770.0,198
"Griffith, H. Morgan",G000568,VA,231.0,02070,322.0,199
"Grijalva, Raul M.",G000551,AZ,920.0,01708,6053.0,200
"Grothman, Glenn",G000576,WI,327.0,,,201
"Guinta, Frank C.",G000570,NH,227.0,02038,167.0,202
"Guthrie, Brett",G000558,KY,258.0,01922,716.0,203
"Gutierrez, Luis V.",G000535,IL,405.0,00478,4497.0,204
"Hahn, Janice",H001063,CA,310.0,02089,624.0,205
"Hanabusa, Colleen W.",H001050,HI,5.0,02010,450.0,206
"Hanna, Richard L.",H001051,NY,364.0,02044,642.0,207
"Hardy, Cresent",H001070,NV,179.0,,,208
"Harper, Gregg",H001045,MS,271.0,01933,693.0,209
"Harris, Andy",H001052,MD,218.0,02026,569.0,210
"Hartzler, Vicky",H001053,MO,273.0,02032,559.0,211
"Hastings, Alcee L.",H000324,FL,846.0,00511,5468.0,212
"Hatch, Orrin G.",H000338,UT,360.0,01351,5852.0,213
"Heck, Denny",H001064,WA,297.0,02170,249.0,214
"Heck, Joseph J.",H001055,NV,283.0,02040,421.0,215
"Heinrich, Martin",H001046,NM,341.0,01937,834.0,216
"Heitkamp, Heidi",H001069,ND,289.0,02174,201.0,217
"Heller, Dean",H001041,NV,290.0,01863,994.0,218
"Hensarling, Jeb",H001036,TX,250.0,01749,1232.0,219
"Herrera Beutler, Jaime",H001056,WA,155.0,02071,252.0,220
"Hice, Jody B.",H001071,GA,261.0,,,221
"Higgins, Brian",H001038,NY,370.0,01794,1762.0,222
"Hill, J. French",H001072,AR,214.0,,,223
"Himes, James A.",H001047,CT,279.0,01913,858.0,224
"Hinojosa, Ruben",H000636,TX,333.0,01490,2999.0,225
"Hirono, Mazie K.",H001042,HI,391.0,01844,1946.0,226
"Hoeven, John",H001061,ND,196.0,02079,407.0,227
"Holding, George",H001065,NC,150.0,02143,162.0,228
"Honda, Michael M.",H001034,CA,856.0,01634,4289.0,229
"Hoyer, Steny H.",H000874,MD,95.0,00566,3866.0,230
"Hudson, Richard",H001067,NC,253.0,02140,209.0,231
"Huelskamp, Tim",H001057,KS,246.0,02020,492.0,232
"Huffman, Jared",H001068,CA,579.0,02101,508.0,233
"Huizenga, Bill",H001058,MI,226.0,02028,570.0,234
"Hultgren, Randy",H001059,IL,241.0,02015,520.0,235
"Hunter, Duncan D.",H001048,CA,247.0,01909,738.0,236
"Hurd, Will",H001073,TX,155.0,,,237
"Hurt, Robert",H001060,VA,128.0,02069,246.0,238
"Inhofe, James M.",I000024,OK,308.0,00583,3886.0,239
"Isakson, Johnny",I000055,GA,330.0,01608,2517.0,240
"Israel, Steve",I000057,NY,463.0,01663,3163.0,241
"Issa, Darrell E.",I000056,CA,178.0,01640,1823.0,242
"Jackson Lee, Sheila",J000032,TX,699.0,00588,1277.0,243
"Jeffries, Hakeem S.",J000294,NY,377.0,02149,239.0,244
"Jenkins, Evan H.",J000297,WV,164.0,,,245
"Jenkins, Lynn",J000290,KS,424.0,01921,870.0,246
"Johnson, Bill",J000292,OH,382.0,02046,836.0,247
"Johnson, Eddie Bernice",J000126,TX,325.0,00599,4323.0,248
"Johnson, Henry C. ""Hank,"" Jr.",J000288,GA,437.0,01843,2029.0,249
"Johnson, Ron",J000293,WI,251.0,02086,318.0,250
"Johnson, Sam",J000174,TX,260.0,00603,2728.0,251
"Jolly, David",J000296,FL,343.0,02199,145.0,252
"Jones, Walter B., Jr.",J000255,NC,598.0,00612,4083.0,253
"Jordan, Jim",J000289,OH,160.0,01868,793.0,254
"Joyce, David P.",J000295,OH,348.0,02154,315.0,255
"Kaine, Tim",K000384,VA,246.0,02176,178.0,256
"Kaptur, Marcy",K000009,OH,493.0,00616,8233.0,257
"Katko, John",K000386,NY,305.0,,,258
"Keating, William R.",K000375,MA,446.0,02025,563.0,259
"Kelly, Mike",K000376,PA,403.0,02051,524.0,260
"Kelly, Robin L.",K000385,IL,345.0,02190,244.0,261
"Kelly, Trent",K000388,MS,124.0,,,262
"Kennedy, Joseph P., III",K000379,MA,277.0,02172,261.0,263
"Kildee, Daniel T.",K000380,MI,301.0,02134,192.0,264
"Kilmer, Derek",K000381,WA,556.0,02169,359.0,265
"Kind, Ron",K000188,WI,445.0,01498,2623.0,266
"King, Angus S., Jr.",K000383,ME,307.0,02185,228.0,267
"King, Peter T.",K000210,NY,419.0,00635,3731.0,268
"King, Steve",K000362,IA,266.0,01724,1549.0,269
"Kinzinger, Adam",K000378,IL,248.0,02014,505.0,270
"Kirk, Mark Steven",K000360,IL,448.0,01647,2098.0,271
"Kirkpatrick, Ann",K000368,AZ,418.0,01907,528.0,272
"Kline, John",K000363,MN,248.0,01733,1802.0,273
"Klobuchar, Amy",K000367,MN,487.0,01826,1622.0,274
"Knight, Stephen",K000387,CA,213.0,,,275
"Kuster, Ann M.",K000382,NH,469.0,02145,456.0,276
"LaHood, Darin",L000585,IL,96.0,,,277
"LaMalfa, Doug",L000578,CA,358.0,02100,332.0,278
"Labrador, Raul R.",L000573,ID,133.0,02011,291.0,279
"Lamborn, Doug",L000564,CO,267.0,01834,1631.0,280
"Lance, Leonard",L000567,NJ,343.0,01936,832.0,281
"Langevin, James R.",L000559,RI,453.0,01668,2374.0,282
"Lankford, James",L000575,OK,211.0,02050,448.0,283
"Larsen, Rick",L000560,WA,280.0,01675,1855.0,284
"Larson, John B.",L000557,CT,367.0,01583,2335.0,285
"Latta, Robert E.",L000566,OH,289.0,01885,1294.0,286
"Lawrence, Brenda L.",L000581,MI,478.0,,,287
"Leahy, Patrick J.",L000174,VT,320.0,01383,5433.0,288
"Lee, Barbara",L000551,CA,831.0,01501,6176.0,289
"Lee, Mike",L000577,UT,218.0,02080,421.0,290
"Levin, Sander M.",L000263,MI,326.0,00683,5146.0,291
"Lewis, John",L000287,GA,399.0,00688,7382.0,292
"Lieu, Ted",L000582,CA,604.0,,,293
"Lipinski, Daniel",L000563,IL,346.0,01781,1586.0,294
"LoBiondo, Frank A.",L000554,NJ,234.0,00699,2509.0,295
"Loebsack, David",L000565,IA,455.0,01846,1739.0,296
"Lofgren, Zoe",L000397,CA,676.0,00701,4966.0,297
"Long, Billy",L000576,MO,235.0,02033,672.0,298
"Loudermilk, Barry",L000583,GA,202.0,,,299
"Love, Mia B.",L000584,UT,189.0,,,300
"Lowenthal, Alan S.",L000579,CA,677.0,02111,596.0,301
"Lowey, Nita M.",L000480,NY,284.0,00709,5206.0,302
"Lucas, Frank D.",L000491,OK,165.0,00711,1427.0,303
"Luetkemeyer, Blaine",L000569,MO,288.0,01931,899.0,304
"Lujan Grisham, Michelle",L000580,NM,395.0,02146,261.0,305
"Lujan, Ben Ray",L000570,NM,272.0,01939,823.0,306
"Lummis, Cynthia M.",L000571,WY,246.0,01960,870.0,307
"Lynch, Stephen F.",L000562,MA,311.0,01686,1830.0,308
"MacArthur, Thomas",M001193,NJ,233.0,,,309
"Maloney, Carolyn B.",M000087,NY,387.0,00729,6367.0,310
"Maloney, Sean Patrick",M001185,NY,382.0,02150,290.0,311
"Manchin, Joe, III",M001183,WV,219.0,01983,371.0,312
"Marchant, Kenny",M001158,TX,274.0,01806,1653.0,313
"Marino, Tom",M001179,PA,282.0,02053,502.0,314
"Markey, Edward J.",M000133,MA,505.0,00735,6980.0,315
"Massie, Thomas",M001184,KY,196.0,02094,163.0,316
"Matsui, Doris O.",M001163,CA,421.0,01814,2142.0,317
"McCain, John",M000303,AZ,261.0,00754,4126.0,318
"McCarthy, Kevin",M001165,CA,37.0,01833,516.0,319
"McCaskill, Claire",M001170,MO,232.0,01820,846.0,320
"McCaul, Michael T.",M001157,TX,321.0,01804,1829.0,321
"McClintock, Tom",M001177,CA,295.0,01908,785.0,322
"McCollum, Betty",M001143,MN,583.0,01653,3747.0,323
"McConnell, Mitch",M000355,KY,155.0,01395,2149.0,324
"McDermott, Jim",M000404,WA,499.0,00766,7050.0,325
"McGovern, James P.",M000312,MA,796.0,01504,6987.0,326
"McHenry, Patrick T.",M001156,NC,128.0,01792,1097.0,327
"McKinley, David B.",M001180,WV,329.0,02074,580.0,328
"McMorris Rodgers, Cathy",M001159,WA,194.0,01809,1384.0,329
"McNerney, Jerry",M001166,CA,358.0,01832,1313.0,330
"McSally, Martha",M001197,AZ,272.0,,,331
"Meadows, Mark",M001187,NC,307.0,02142,340.0,332
"Meehan, Patrick",M001181,PA,300.0,02052,416.0,333
"Meeks, Gregory W.",M001137,NY,481.0,01506,3343.0,334
"Menendez, Robert",M000639,NJ,369.0,00791,3971.0,335
"Meng, Grace",M001188,NY,466.0,02148,330.0,336
"Merkley, Jeff",M001176,OR,409.0,01900,1012.0,337
"Messer, Luke",M001189,IN,333.0,02130,189.0,338
"Mica, John L.",M000689,FL,146.0,00800,1706.0,339
"Mikulski, Barbara A.",M000702,MD,300.0,00802,7134.0,340
"Miller, Candice S.",M001150,MI,227.0,01731,1459.0,341
"Miller, Jeff",M001144,FL,360.0,01685,2578.0,342
"Moolenaar, John R.",M001194,MI,183.0,,,343
"Mooney, Alexander X.",M001195,WV,189.0,,,344
"Moore, Gwen",M001160,WI,603.0,01811,2323.0,345
"Moran, Jerry",M000934,KS,325.0,01507,2024.0,346
"Moulton, Seth",M001196,MA,297.0,,,347
"Mullin, Markwayne",M001190,OK,264.0,02156,187.0,348
"Mulvaney, Mick",M001182,SC,295.0,02059,578.0,349
"Murkowski, Lisa",M001153,AK,335.0,01694,1613.0,350
"Murphy, Christopher",M001169,CT,366.0,,,351
"Murphy, Christopher S.",M001169,CT,2.0,01837,1157.0,352
"Murphy, Patrick",M001191,FL,411.0,02117,382.0,353
"Murphy, Tim",M001151,PA,225.0,01744,1539.0,354
"Murray, Patty",M001111,WA,387.0,01409,3525.0,355
"Nadler, Jerrold",N000002,NY,411.0,00850,4810.0,356
"Napolitano, Grace F.",N000179,CA,579.0,01602,3242.0,357
"Neal, Richard E.",N000015,MA,248.0,00854,3864.0,358
"Nelson, Bill",N000032,FL,261.0,00859,2910.0,359
"Neugebauer, Randy",N000182,TX,245.0,01758,1498.0,360
"Newhouse, Dan",N000189,WA,299.0,,,361
"Noem, Kristi L.",N000184,SD,227.0,02060,364.0,362
"Nolan, Richard M.",N000127,MN,404.0,00867,1445.0,363
"Norcross, Donald",N000188,NJ,287.0,,,364
"Norton, Eleanor Holmes",N000147,DC,1078.0,00868,7781.0,365
"Nugent, Richard B.",N000185,FL,232.0,02001,542.0,366
"Nunes, Devin",N000181,CA,215.0,01710,1019.0,367
"Nunnelee, Alan",N000186,MS,28.0,02034,577.0,368
"O'Rourke, Beto",O000170,TX,327.0,02162,380.0,369
"Olson, Pete",O000168,TX,449.0,01955,985.0,370
"Palazzo, Steven M.",P000601,MS,286.0,02035,421.0,371
"Pallone, Frank, Jr.",P000034,NJ,244.0,00887,5222.0,372
"Palmer, Gary J.",P000609,AL,125.0,,,373
"Pascrell, Bill, Jr.",P000096,NJ,427.0,01510,3302.0,374
"Paul, Rand",P000603,KY,198.0,02082,361.0,375
"Paulsen, Erik",P000594,MN,260.0,01930,737.0,376
"Payne, Donald M., Jr.",P000604,NJ,361.0,02097,381.0,377
"Pearce, Stevan",P000588,NM,311.0,01738,1301.0,378
"Pelosi, Nancy",P000197,CA,64.0,00905,4844.0,379
"Perdue, David",P000612,GA,252.0,,,380
"Perlmutter, Ed",P000593,CO,350.0,01835,1005.0,381
"Perry, Scott",P000605,PA,211.0,02157,225.0,382
